Czas:	Pozycja:	Predkosc:	Moment:


6.198883056640625e-06	0.0	-0.010180743411183357	0.0

0.005007028579711914	7.62939453125e-05	0.00689646415412426	0.0

0.01000833511352539	9.1552734375e-05	0.008334990590810776	0.0

0.015009880065917969	0.0001220703125	0.016479846090078354	0.016143813729286194

0.02001166343688965	6.103515625e-05	-0.0053553273901343346	0.019837478175759315

0.025013208389282227	9.1552734375e-05	-0.003999941982328892	0.02838403359055519

0.03001546859741211	9.1552734375e-05	-0.008715548552572727	0.03204021975398064

0.03501725196838379	0.0001068115234375	-0.00934617593884468	0.06067709997296333

0.040018320083618164	0.0001678466796875	0.009232313372194767	0.06066562235355377

0.04501962661743164	0.0001068115234375	-0.0007824684143997729	0.08152376115322113

0.050023555755615234	0.000213623046875	0.011668549850583076	0.06549637019634247

0.05502438545227051	0.000244140625	0.009370352141559124	0.09006557613611221

0.06002640724182129	0.0002593994140625	0.00660153292119503	0.08132828027009964

0.06502842903137207	0.0002593994140625	0.005305759143084288	0.10201099514961243

0.07002949714660645	0.0003662109375	0.014275763183832169	0.11739881336688995

0.07503128051757812	0.000457763671875	0.00682113878428936	0.11356350779533386

0.08003354072570801	0.0009765625	0.0883449912071228	0.12346920371055603

0.08503532409667969	0.001739501953125	0.1554521918296814	0.12109686434268951

0.09003639221191406	0.0029296875	0.2347986400127411	0.12151685357093811

0.09503793716430664	0.0047149658203125	0.33855947852134705	0.11408533900976181

0.10003972053527832	0.0072021484375	0.47254639863967896	0.10264655947685242

0.1050410270690918	0.010223388671875	0.5875482559204102	0.1249314695596695

0.11004209518432617	0.013824462890625	0.710081934928894	0.09003253281116486

0.11504459381103516	0.018341064453125	0.8690945506095886	0.0964585617184639

0.12004613876342773	0.0233917236328125	0.9959830045700073	0.09127406030893326

0.1250476837158203	0.0289459228515625	1.1135430335998535	0.10290618985891342

0.1300504207611084	0.0349884033203125	1.1830823421478271	0.07873686403036118

0.13505172729492188	0.0410614013671875	1.2333492040634155	0.08099852502346039

0.14005351066589355	0.047760009765625	1.3177671432495117	0.06955866515636444

0.14505410194396973	0.054595947265625	1.383497953414917	0.06685570627450943

0.1500566005706787	0.0623779296875	1.4937022924423218	0.102995365858078

0.15505743026733398	0.07012939453125	1.5693644285202026	0.05361506715416908

0.16005873680114746	0.078094482421875	1.5890896320343018	0.0718257799744606

0.16506028175354004	0.08563232421875	1.5032472610473633	0.05358795076608658

0.17006206512451172	0.0928955078125	1.4449182748794556	0.04939892143011093

0.1750633716583252	0.0993499755859375	1.321679711341858	0.06437695026397705

0.1801748275756836	0.1060028076171875	1.2517335414886475	0.05349545553326607

0.18517613410949707	0.1116180419921875	1.2038750648498535	0.06064145267009735

0.19017720222473145	0.1174163818359375	1.1491950750350952	0.066877081990242

0.19517898559570312	0.12261962890625	1.041873812675476	0.07582611590623856

0.20018696784973145	0.127227783203125	0.9266977906227112	0.09177182614803314

0.20518732070922852	0.131744384765625	0.9113192558288574	0.059294164180755615

0.2101891040802002	0.13641357421875	0.9325132369995117	0.06314946711063385

